idresult	predictiondate	predictionvalue	execution_idexecution	predictionvaluemax	predictionvaluemin	typeofvalue	YEAR (predictiondate)	MONTH (predictiondate)	DAY (predictiondate)	weekofyear(predictiondate)	weekday(predictiondate)	HOUR (predictiondate)
1041	2016-02-04 01:00:00	168.387	55	168.387	168.387	3	2016	2	4	5	3	1
1042	2016-02-04 02:00:00	139.053	55	139.053	139.053	3	2016	2	4	5	3	2
1043	2016-02-04 03:00:00	138.881	55	138.881	138.881	3	2016	2	4	5	3	3
1044	2016-02-04 04:00:00	138.527	55	138.527	138.527	3	2016	2	4	5	3	4
1045	2016-02-04 05:00:00	154.698	55	154.698	154.698	3	2016	2	4	5	3	5
1046	2016-02-04 06:00:00	193.671	55	193.671	193.671	3	2016	2	4	5	3	6
1047	2016-02-04 07:00:00	402.956	55	402.956	402.956	3	2016	2	4	5	3	7
1048	2016-02-04 08:00:00	522.778	55	522.778	522.778	3	2016	2	4	5	3	8
1049	2016-02-04 09:00:00	546.975	55	546.975	546.975	3	2016	2	4	5	3	9
1050	2016-02-04 10:00:00	548.924	55	548.924	548.924	3	2016	2	4	5	3	10
1051	2016-02-04 11:00:00	574.583	55	574.583	574.583	3	2016	2	4	5	3	11
1052	2016-02-04 12:00:00	579.852	55	579.852	579.852	3	2016	2	4	5	3	12
1053	2016-02-04 13:00:00	622.324	55	622.324	622.324	3	2016	2	4	5	3	13
1054	2016-02-04 14:00:00	602.583	55	602.583	602.583	3	2016	2	4	5	3	14
1055	2016-02-04 15:00:00	604.345	55	604.345	604.345	3	2016	2	4	5	3	15
1056	2016-02-04 16:00:00	485.869	55	485.869	485.869	3	2016	2	4	5	3	16
1057	2016-02-04 17:00:00	271.558	55	271.558	271.558	3	2016	2	4	5	3	17
1058	2016-02-04 18:00:00	224.854	55	224.854	224.854	3	2016	2	4	5	3	18
1059	2016-02-04 19:00:00	230.346	55	230.346	230.346	3	2016	2	4	5	3	19
1060	2016-02-04 20:00:00	189.837	55	189.837	189.837	3	2016	2	4	5	3	20
1061	2016-02-04 21:00:00	184.481	55	184.481	184.481	3	2016	2	4	5	3	21
1062	2016-02-04 22:00:00	142.184	55	142.184	142.184	3	2016	2	4	5	3	22
1063	2016-02-04 23:00:00	128.122	55	128.122	128.122	3	2016	2	4	5	3	23
1113	2016-02-04 01:00:00	167.933	58	167.933	167.933	3	2016	2	4	5	3	1
1114	2016-02-04 02:00:00	139.104	58	139.104	139.104	3	2016	2	4	5	3	2
1115	2016-02-04 03:00:00	138.97	58	138.97	138.97	3	2016	2	4	5	3	3
1116	2016-02-04 04:00:00	138.887	58	138.887	138.887	3	2016	2	4	5	3	4
1117	2016-02-04 05:00:00	154.443	58	154.443	154.443	3	2016	2	4	5	3	5
1118	2016-02-04 06:00:00	193.705	58	193.705	193.705	3	2016	2	4	5	3	6
1119	2016-02-04 07:00:00	402.835	58	402.835	402.835	3	2016	2	4	5	3	7
1120	2016-02-04 08:00:00	522.905	58	522.905	522.905	3	2016	2	4	5	3	8
1121	2016-02-04 09:00:00	548.433	58	548.433	548.433	3	2016	2	4	5	3	9
1122	2016-02-04 10:00:00	548.136	58	548.136	548.136	3	2016	2	4	5	3	10
1123	2016-02-04 11:00:00	575.241	58	575.241	575.241	3	2016	2	4	5	3	11
1124	2016-02-04 12:00:00	579.776	58	579.776	579.776	3	2016	2	4	5	3	12
1125	2016-02-04 13:00:00	621.965	58	621.965	621.965	3	2016	2	4	5	3	13
1126	2016-02-04 14:00:00	603.545	58	603.545	603.545	3	2016	2	4	5	3	14
1127	2016-02-04 15:00:00	599.841	58	599.841	599.841	3	2016	2	4	5	3	15
1128	2016-02-04 16:00:00	483.732	58	483.732	483.732	3	2016	2	4	5	3	16
1129	2016-02-04 17:00:00	270.944	58	270.944	270.944	3	2016	2	4	5	3	17
1130	2016-02-04 18:00:00	224.523	58	224.523	224.523	3	2016	2	4	5	3	18
1131	2016-02-04 19:00:00	229.768	58	229.768	229.768	3	2016	2	4	5	3	19
1132	2016-02-04 20:00:00	189.845	58	189.845	189.845	3	2016	2	4	5	3	20
1133	2016-02-04 21:00:00	183.46	58	183.46	183.46	3	2016	2	4	5	3	21
1134	2016-02-04 22:00:00	142.372	58	142.372	142.372	3	2016	2	4	5	3	22
1135	2016-02-04 23:00:00	127.71	58	127.71	127.71	3	2016	2	4	5	3	23
1352	2016-02-04 23:40:05	135.279	68	134.492	136.476	3	2016	2	4	5	3	23
1353	2016-02-05 01:00:00	133.497	68	132.83	134.282	3	2016	2	5	5	4	1
1354	2016-02-05 02:00:00	137.766	68	137.025	138.183	3	2016	2	5	5	4	2
1355	2016-02-05 03:00:00	134.291	68	134.116	134.516	3	2016	2	5	5	4	3
1356	2016-02-05 04:00:00	131.335	68	130.566	131.823	3	2016	2	5	5	4	4
1357	2016-02-05 05:00:00	128.796	68	127.853	129.25	3	2016	2	5	5	4	5
1358	2016-02-05 06:00:00	195.502	68	194.73	196.232	3	2016	2	5	5	4	6
1359	2016-02-05 07:00:00	401.532	68	398.111	405.055	3	2016	2	5	5	4	7
1360	2016-02-05 08:00:00	544.954	68	542.666	546.727	3	2016	2	5	5	4	8
1361	2016-02-05 09:00:00	587.778	68	586.44	589.057	3	2016	2	5	5	4	9
1362	2016-02-05 10:00:00	610.216	68	609.608	610.74	3	2016	2	5	5	4	10
1363	2016-02-05 11:00:00	621.908	68	620.642	623.01	3	2016	2	5	5	4	11
1364	2016-02-05 12:00:00	617.911	68	613.181	622.173	3	2016	2	5	5	4	12
1365	2016-02-05 13:00:00	580.547	68	574.416	586.157	3	2016	2	5	5	4	13
1366	2016-02-05 14:00:00	596.84	68	588.443	601.031	3	2016	2	5	5	4	14
1367	2016-02-05 15:00:00	576.262	68	568.652	581.03	3	2016	2	5	5	4	15
1368	2016-02-05 16:00:00	417.99	68	408.422	430.694	3	2016	2	5	5	4	16
1369	2016-02-05 17:00:00	453.197	68	451.889	454.115	3	2016	2	5	5	4	17
1370	2016-02-05 18:00:00	410.628	68	410.143	411.259	3	2016	2	5	5	4	18
1371	2016-02-05 19:00:00	378.099	68	377.01	379.075	3	2016	2	5	5	4	19
1372	2016-02-05 20:00:00	284.048	68	281.117	285.044	3	2016	2	5	5	4	20
1373	2016-02-05 21:00:00	244.015	68	241.916	247.173	3	2016	2	5	5	4	21
1374	2016-02-05 22:00:00	178.286	68	176.087	180.174	3	2016	2	5	5	4	22
1375	2016-02-05 23:00:00	155.994	68	154.332	157.578	3	2016	2	5	5	4	23
1424	2016-02-05 23:40:05	135.568	71	134.796	136.454	3	2016	2	5	5	4	23
1425	2016-02-06 01:00:00	133.572	71	132.781	134.605	3	2016	2	6	5	5	1
1426	2016-02-06 02:00:00	138.134	71	137.438	138.746	3	2016	2	6	5	5	2
1427	2016-02-06 03:00:00	134.509	71	133.747	135.381	3	2016	2	6	5	5	3
1428	2016-02-06 04:00:00	131.358	71	130.516	132.135	3	2016	2	6	5	5	4
1429	2016-02-06 05:00:00	128.927	71	128.449	129.162	3	2016	2	6	5	5	5
1430	2016-02-06 06:00:00	195.272	71	194.256	196.297	3	2016	2	6	5	5	6
1431	2016-02-06 07:00:00	401.539	71	398.454	406.807	3	2016	2	6	5	5	7
1432	2016-02-06 08:00:00	543.835	71	541.519	546.219	3	2016	2	6	5	5	8
1433	2016-02-06 09:00:00	586.951	71	585.509	587.557	3	2016	2	6	5	5	9
1434	2016-02-06 10:00:00	610.165	71	609.022	610.792	3	2016	2	6	5	5	10
1435	2016-02-06 11:00:00	622.034	71	621.286	622.827	3	2016	2	6	5	5	11
1436	2016-02-06 12:00:00	618.871	71	613.969	623.202	3	2016	2	6	5	5	12
1437	2016-02-06 13:00:00	581.604	71	567.845	589.886	3	2016	2	6	5	5	13
1438	2016-02-06 14:00:00	595.604	71	588.894	601.157	3	2016	2	6	5	5	14
1439	2016-02-06 15:00:00	576.851	71	569.457	581.773	3	2016	2	6	5	5	15
1440	2016-02-06 16:00:00	417.303	71	402.764	428.172	3	2016	2	6	5	5	16
1441	2016-02-06 17:00:00	453.002	71	451.917	454.776	3	2016	2	6	5	5	17
1442	2016-02-06 18:00:00	410.661	71	410.148	411.109	3	2016	2	6	5	5	18
1443	2016-02-06 19:00:00	377.672	71	376.609	378.839	3	2016	2	6	5	5	19
1444	2016-02-06 20:00:00	283.487	71	281.922	286.056	3	2016	2	6	5	5	20
1445	2016-02-06 21:00:00	243.673	71	241.763	245.719	3	2016	2	6	5	5	21
1446	2016-02-06 22:00:00	178.857	71	177.399	179.984	3	2016	2	6	5	5	22
1447	2016-02-06 23:00:00	155.911	71	154.505	157.234	3	2016	2	6	5	5	23
1496	2016-02-08 23:40:28	135.529	74	134.628	136.281	3	2016	2	8	6	0	23
