Time	Position
0	0
0.025	0.73625
0.05	2.0724630859
0.075	3.8516817318
0.1	5.9086022521
0.125	8.0809061607
0.15	10.2190138984
0.175	12.1938465319
0.2	13.9023561211
0.225	15.2707539542
0.25	16.2555180807
0.275	16.8423900314
0.325	17.0436702078
0.35	16.8941894974
0.375	16.4463708382
0.4	15.7648003945
0.425	14.9207070422
0.45	13.9867056187
0.475	13.0320992994
0.5	12.1189653255
0.525	11.2991719389
0.55	10.6123981572
0.575	10.0851567041
0.6	9.7307578234
0.625	9.5501006928
0.65	9.533141461
0.675	9.6608632892
0.7	9.9075639208
0.725	10.243279159
0.75	10.6361744632
0.775	11.0547594664
0.8	11.4698090874
0.825	11.85590749
0.85	12.1925649407
0.875	12.4648903796
0.9	12.6638323292
0.925	12.7860261299
0.95	12.8333053712
0.975	12.8119492165
1	12.7317449829
1.025	12.6049471097
1.05	12.445210146
1.075	12.2665654742
1.1	12.0825001989
1.125	11.9051830847
1.15	11.7448677462
1.175	11.6094885344
1.2	11.5044506518
1.225	11.4326037294
1.25	11.3943779855
1.275	11.3880545102
1.3	11.4101363536
1.325	11.455784902
1.35	11.5192863164
1.375	11.5945152618
1.4	11.6753673446
1.425	11.7561371415
1.45	11.8318249293
1.475	11.8983617499
1.5	11.9527488038
1.525	11.993113004
1.55	12.0186855208
1.575	12.0297141127
1.6	12.0273228405
1.625	12.0133343725
1.65	11.990070554
1.675	11.9601463439
1.7	11.9262707814
1.725	11.8910665284
1.75	11.8569169579
1.775	11.8258469394
1.8	11.7994406166
1.825	11.77879676
1.85	11.7645198655
1.875	11.7567431624
1.9	11.7551781796
1.925	11.7591845169
1.95	11.7678529907
1.975	11.7800953272
2	11.7947340078
2.025	11.8105866445
2.05	11.8265402991
2.075	11.8416123438
2.1	11.8549957253
2.125	11.8660877219
2.15	11.8745024309
2.175	11.8800682028
2.2	11.8828120334
2.225	11.8829334866
2.25	11.8807710602
2.275	11.8767640206
2.3	11.8714126399
2.325	11.8652395138
2.35	11.8587542372
2.375	11.8524232283
2.4	11.8466459507
2.425	11.8417382293
2.45	11.8379228305
2.475	11.8353270012
2.5	11.8339862644
2.525	11.8338534695
2.55	11.8348118836
2.575	11.8366910156
2.6	11.8392838468
2.625	11.8423642248
2.65	11.8457033134
2.675	11.8490841893
2.7	11.8523139052
2.725	11.8552325747
2.75	11.8577192816
2.775	11.8596948335
2.8	11.8611215755
2.825	11.8620006371
2.85	11.8623670995
2.875	11.8622836387
2.9	11.8618332298
2.925	11.8611114802
2.95	11.8602191183
2.975	11.859255084
3	11.8583105799
3.025	11.8574643352
3.05	11.8567792289
3.075	11.8563003161
3.1	11.8560542079
3.125	11.8560496768
3.15	11.8562793012
3.175	11.8567219165
3.2	11.8573456226
3.225	11.8581110912
3.25	11.8589749303
3.275	11.859892889
3.3	11.8608227215
3.325	11.8617265755
3.35	11.8625728128
3.375	11.8633372185
3.4	11.8640035998
3.425	11.8645638104
3.45	11.8650172704
3.475	11.8653700733
3.5	11.8656337871
3.525	11.8658240604
3.55	11.8659591464
3.575	11.8660584443
3.6	11.86614115
3.625	11.8662250839
3.65	11.8663257488
3.675	11.8664556484
3.7	11.866623876
3.725	11.8668359663
3.75	11.8670939878
3.775	11.8673968393
